a,b,c,d,e,key
-0.174932555,0.405233535,-0.361573323,0.420474659,0.097967816,C
-0.155291308,-0.308795511,0.431793321,0.366635112,-0.056213095,F
0.068315091,0.28027274,-0.404527844,-0.259271438,0.239497496,H
-0.119636603,0.411421007,-0.063148564,-0.330896484,-0.259973452,P
0.084448375,-0.319835197,0.397592455,-0.415486775,-0.4078615,K
-0.373685969,-0.477630544,0.4133357,-0.436755299,-0.159991093,E
0.275456001,-0.156576589,0.189368438,-0.385830585,0.347130571,L
0.039733742,-0.405835839,-0.285961578,0.358890858,0.464569855,W
0.434556322,-0.34699533,-0.004230838,-0.296298349,-0.351343986,D
0.082093213,0.395511573,0.411070736,-0.382925833,-0.068247576,K
-0.475238143,-0.027597916,0.225004348,0.422108265,0.180573088,G
0.074684495,0.29809233,0.093031113,0.409828503,-0.220842799,V
0.049396485,-0.320412556,-0.107593597,-0.13998088,-0.43906854,R
0.467435061,-0.16916413,0.387858469,0.032045906,0.195608979,L
0.30189951,-0.460989332,-0.051519532,0.116631123,-0.288648871,U
-0.4713021,-0.45454901,0.086335797,-0.381744601,0.424767657,O
-0.2824731,-0.25145913,0.349473024,-0.084603816,0.329685973,U
-0.108802252,-0.259657173,-0.278648469,0.254164377,-0.480802219,Y
0.036449139,-0.413792571,0.045314192,0.40690822,0.152860223,A
-0.282417087,-0.061882547,0.03226202,-0.000599088,-0.168874296,M
-0.251884942,0.122750418,0.492332644,-0.140361185,-0.099978756,U
0.163791303,-0.092878215,0.036866261,0.315202426,-0.009605601,X
-0.483877192,0.465194208,-0.410468371,0.190312921,-0.439025505,E
-0.204065923,-0.051178431,0.111947552,-0.005962616,-0.255058521,E
-0.328920028,-0.063348561,-0.461762785,0.251544785,-0.014483553,Q
0.464766117,-0.361272878,-0.01042339,-0.168179533,-0.174452565,E
0.102519972,0.363638865,0.341107826,0.477548532,0.203527026,B
-0.016308455,-0.218209308,-0.123908822,-0.499870808,-0.085869915,G
-0.05971165,-0.068020952,0.200142996,0.167685441,0.38040641,A
0.377136304,0.307947502,0.194198654,0.11552539,0.279137774,C
-0.236863808,0.383742051,-0.356473424,0.454903666,0.323775061,W
-0.484731325,-0.193238083,-0.085972977,0.032442485,-0.007405488,Z
0.155342408,0.296533896,0.193623832,-0.181575641,-0.456952208,E
-0.124020086,0.499415061,0.030014791,-0.086923826,0.365673462,Z
-0.267588196,0.17531805,0.446380728,-0.300428155,-0.363545077,Z
0.003718671,0.244918302,0.271117659,-0.460428804,-0.196005928,U
-0.430055822,-0.462304581,0.164869579,0.045353428,0.246832208,Z
0.216050564,-0.213069582,-0.472570877,0.3621814,0.279288599,U
0.435059095,0.452580812,-0.186386494,-0.170258746,0.313407356,B
-0.3741721,-0.057633074,-0.153611877,-0.465072766,0.47945208,F
-0.499295925,-0.310162497,-0.230821453,-0.354781693,-0.181556195,E
0.204895758,-0.13604957,-0.467775389,-0.420165212,0.028944497,C
-0.404762276,0.236662894,-0.283631756,0.309567912,-0.442647751,U
-0.069949247,0.006909879,-0.341316394,-0.304193677,-0.382395968,Z
-0.02378908,0.278515188,0.479883253,-0.142220284,0.460337514,M
